0,1
آؤں,aaun
آئ,aai
آئینوں,aayeenon
آئینِ,aaeene
آئینہ,aaina
آئینے,aaiyene
آبان,aaban
آبلہ,aabla
آجکے,aajkay
آدھ,aadh
آرا,aara
آرزوئے,aarzavay
آرٹسٹک,artistic
آرچر,archer
آرک,ark
آرگنائزر,organiser
آزمایا,aazmaya
آستاں,aastan
آسماں,aasman
آشیر,aasheer
آصف,aasif
آصفہ,aasefa
آصفیہ,aasafiya
آفراد,afrad
آفسر,afsar
آلاتی,aalati
آندری,andry
آنر,honour
آنرز,aanraz
آنند,aanand
آنچل,anchal
آنچلوں,aanchalon
آگہی,aagahi
آہ,aah
آہِ,aahi
ئنس,anas
ائیرویز,airways
اب,ab
اباسین,abaasen
ابتسام,abithsaam
ابتلا,abtala
ابدیت,abdet
ابرہیم,ibrahim
ابعاد,abaad
ابوموسیٰ,abumusaa
ابھرتا,ubharta
ابے,abay
اتالیق,ataliq
اترتا,utarta
اثاثہ,asaasa
اجتماعات,ijtamaat
اجتماعیت,ijtemaiyat
اجرام,ajram
اجوائن,ajvain
اجودھن,ajudhan
اجین,ajin
احاديث,ahadees
احمدِ,ahmad
احمدیت,ahmadiat
اخر,akhar
اخراجی,akhraaji
اخوات,akhvat
ادبار,adbaar
ادعیہ,adaaya
ادغام,adgaam
ادن,adan
اذکار,azkar
ارادوں,iraadon
ارادی,araadi
ارادے,aradey
ارام,aram
ارامی,arami
اربل,arbal
ارتحال,artehaal
ارشد,arshad
ارضِ,arzi
اروی,arwi
ازالہ,azala
ازبکستان,ajbakistan
ازبکستانی,ajbakistany
ازل,azal
ازلی,azli
ازہر,azhar
ازہری,azhari
ازیں,ajen
استثنی,istasna
استحصالی,istehsali
استعاروں,istaaron
استعارہ,istaara
استعارے,istaare
اسد,asad
اسدالله,asadallah
اسعار,asaar
اسفر,asfar
اسكول,school
اسمال,small
اسمٰعیل,ismail
اسٹرانگ,strong
اسپینسر,spencer
اسپیک,espik
اسپیکٹرل,spectral
اسکردو,skardu
اسکواڈرن,skwadran
اسکیل,scale
اسکیچ,sketch
اسے,ase
اشارۃً,ishara
اشراق,ashraq
اشکال,ashkaal
اشیا,ashia
اطراف,atraaf
اعدا,aada
اعزازت,aezazat
اعلامیے,aalami
افادہ,afaadah
افريقہ,africa
افسانچہ,afsancha
افسانہ,afsana
افغانستان,afghanistan
افق,afaq
افیونی,afyuni
اقامت,aqamat
اقامتی,akamati
اقدامات,iqdaamaat
اقدامی,aqdamee
اقوال,aqwal
اقوام,aqwam
اكثر,aksar
الابرار,alabrar
الازہر,alaazahr
الاصول,alusool
الاضحی,alazhi
الاقوامی,alaqwami
الامراض,alamraz
الانسان,alinsaan
البا,ailba
الباسط,albasit
البحرین,albahrain
البدایہ,albadaya
البرغوث,albargaus
البرنی,albarnee
البشير,albasheer
البقرہ,albaqrah
التاریخ,altarikh
الترغیب,altargeeb
التماس,altamas
التوحید,altauheed
التہذیب,altahzib
الثاني,alsani
الثقفی,alsakfi
الثوري,alsuri
الجامعۃ,alajaamat
الجمال,aljamal
الجوہری,aljaoharee
الجھن,uljhan
الجھنیں,aljhanin
الجھنے,ulajhne
الجہنی,aljahnee
الحارث,alharis
الحارثی,alharisi
الحبیب,alhabib
الحداد,alhadaad
الحرمین,alharmeen
الحس,alhas
الحسکہ,alhaskah
الحكماء,alhukama
الحمرا,alhamra
الحوض,alhauz
الحیدری,alhaidaree
الخطوط,alkhatoot
الدولہ,aldola
الذهب,alzahab
الرحماني,alrahmani
الرشید,alrasheed
الریان,alriyan
الزکی,alzaki
الزہرا,alzuhra
السدیس,alsadees
السعادت,alsaadat
السلمی,alsalmi
السماء,alsamaa
السماوی,alsamaavi
السمر,alsamar
السيد,alsaid
الشافعیۃ,alshaafeeat
الشريف,alshareef
الشریعہ,alshariah
الشمس,alshams
الشهير,alshaheer
الصغریٰ,alsughra
الصغیر,alsagheer
الصفا,alsafa
الصلوات,alsalawat
الظاہر,alzaahir
العباد,alibaad
العبادی,alibaadi
العلما,alalma
العناصر,alanaasir
العنزی,alanzi
الفریڈ,alfred
القانون,alqanon
القہار,alqahar
الكبير,alkabir
الله,allah
اللهِ,allah
اللّٰہَ,allah
المتين,almatin
المثل,almisl
المراد,almurad
المرکز,almarkaz
المسند,almasnad
المظفر,almajphar
المعجزات,almajzat
المعین,almaeen
المفاتیح,almafateeh
المفہرس,almafharas
الملوکی,almaloki
المنتقی,almuntaqi
المنکر,almankar
الموجودات,almojodat
المیقات,almiqat
النابلسی,alnablasi
الندوي,alnadvee
النھار,alnahar
الهادي,alhadi
الولایۃ,alwalayah
الولی,alwali
الکا,aalka
الکلبی,alkalbi
الکمال,alkamal
الکہف,alkahaf
الگورتھم,algoritham
الیکٹران,electron
ام,um
امام,imaam
امامِ,amame
امامہ,imamah
امامۃ,amaamat
امامین,amameen
امامیہ,amameah
امانت,amanat
امانتیں,amanatein
اماں,amaan
امتحان,imtehan
امتحانوں,imtehanon
امداد,amdad
امدادیہ,amdadiya
امراؤ,umrao
امراضِ,aamraz
امنگوں,amangun
امنگیں,amangen
امين,amin
امہ,amah
امیران,ameeran
اناؤنسر,announcer
انترا,antara
انتقالِ,inteqale
انخلاء,ankhala
اندرجیت,indhrajith
انرجی,energy
انزل,anzal
انزلی,anzali
انس,ans
انسائڈ,inside
انسے,ansay
انویسٹمنٹ,investment
انٹریو,interview
انکو,inko
انہں,anhan
اوائل,avail
اواتار,avatar
اورایسا,auraisa
اوطاس,autaas
اولاند,aualanad
اونگھ,aungh
اوپ,oop
اوڑھتی,audhti
اوھام,ohaam
اُبلنے,ubalne
اُللہ,allah
اُو,ao
اُوپر,ooper
اُٹھا,utha
اُٹھائے,authay
اُٹھاتا,uthata
اُٹھاتے,uthatay
اِداروں,idaron
اِستدلال,estadlal
اِشارہ,isharah
اِن,in
اِنسانی,insani
اٹ,at
اٹلانٹک,atlantic
اٹھا,utha
اٹھاتے,athate
اپروچ,approach
اپنائی,apnaa
اپنائے,apnaye
اپڈیٹ,update
اچھائی,achhayi
اچھال,uchaal
اچھالنے,uchalney
اچھرہ,aachhara
اڑ,udd
اڑا,aada
اڑاؤ,adaav
اڑائی,arai
اڑائے,adaaiy
اڑاتے,aratay
اڑتے,udte
اڑوس,ados
اژدہے,ajdahe
اکاؤنٹینٹ,accountant
اکاونٹنگ,accounting
اکل,akal
اکھڑنے,akhadnay
اکیاون,akiawan
اکیرا,akeera
اگرچه,agar
اگنے,agnay
اہلی,ahli
اہلیہ,ahlia
ایجنسیوں,aegencion
ایدی,aidi
ایریل,aerial
ایزد,aizd
ایزی,easy
ایسا,aisa
ایسوسیشن,association
ایسٹرن,eastern
ایسٹروجن,estrogen
ایشنز,asians
ایلا,aela
ایلاء,aelah
ایلف,aelf
ایلچی,ailchi
ایلک,eelk
ایمان,iman
ایمانِ,aemani
ایمیزون,amazon
اینگل,angle
ایولین,awleen
ایونیو,avenue
ایپس,apps
ایڈمنٹن,adminton
ایڈیلیڈ,adelaide
ایڈیڈ,aded
ایکا,ekaa
ایکٹر,actor
ایہناں,aihnan
باآسانی,baasani
باؤلے,bowlay
بائنری,binary
بائیکاٹ,boycot
باب,baab
بابلی,babli
بابِ,baab
بابیوں,babiyon
بابے,babe
باتیں,baaten
بادشاہتوں,baadshaahton
بادشاہتیں,baadshaahten
بارا,bara
بارش,barish
بارشوں,barshon
بارگا,barga
بازر,bazar
بازوؤں,baazun
بازپرس,bazpurs
باصفا,basafa
بالاآخر,baalaaakhir
بالاتر,balatar
بالترتیب,baltarteeb
بالفاظ,bilfaaz
بالفور,bilfaur
بامقصد,bamaqsad
باندا,banda
باندھنی,bandhani
باوا,bava
باورچی,bawarchi
باوری,bavari
باون,baaun
باکل,baakul
بتادوں,batadun
بتانی,batani
بتانے,bataanay
بترس,batars
بجاؤ,bajao
بجری,bajri
بجھا,bujha
بجھائے,bajhayay
بجھانے,bujhanay
بجی,baji
بحال,bahal
بحرین,bahrain
بخار,bukhaar
بخرے,bakhre
بخود,bakhood
بدایوں,badaayon
بدایۃ,badaayah
بدتمیزی,badtamizi
بدستور,badastoor
بدصورت,badsoorat
بدلتی,badalti
بدلنا,badalna
بدنا,badna
بدنصیب,badnaseeb
بدنما,badnama
بدیل,badeel
برآمد,baraamad
برآمدات,baraamadath
برآمدوں,baraamadon
برآمدے,baraamidey
برآں,baraan
براءت,baraaat
براؤزرز,browsers
براستہ,barastah
برش,brush
برقناطیسی,barknaatise
برم,baram
برمکی,barmaki
برن,burn
برناڈ,barnad
برّ,barr
برّی,barri
برٹرینڈ,bartrend
برکلے,barclay
برہمو,brahmo
بریلی,bareilly
بریک,break
بریگیڈیر,brigadier
بست,bast
بستے,bastay
بسوا,baswa
بصارت,basarat
بصریات,basriat
بعد,baad
بعدِ,baad
بعدہ,baada
بعدی,baadee
بغرض,bagaraz
بغلوں,baghlon
بغلیں,baghlain
بفیلو,buffalo
بقید,baqed
بلاتی,bulati
بلانک,balaanak
بلاگ,blog
بلاگز,blogs
بلتی,baltee
بلخی,balkhee
بلد,balad
بلرام,balram
بلوم,bloom
بلوک,bellock
بلّی,billi
بلٹز,belts
بلڈوزر,bulldozer
بلکا,balka
بلیبار,baleebaar
بلے,balay
بملا,bamalaa
بنائ,banaaee
بنادوں,banadoo
بندشوں,bandishon
بندھنوں,bandhanon
بنوائیں,banvayen
بنوائے,banavae
بنواتے,banavaate
بهار,bhaar
بهی,bahi
بوئنگ,boeing
بورنگ,boring
بوسال,busaal
بوعلی,buali
بولنگ,bowling
بوند,boond
بونی,boni
بوٹ,boot
بوٹوں,boton
بوڈا,boda
بوہر,bohar
بوہری,boharee
بوہرے,bohre
بَہُت,bahoot
بُکس,books
بِلا,bila
بٹر,butter
بپتسمہ,bapatsameh
بچھا,bacga
بچھائے,bachaye
بچھاتے,bachaate
بچھونا,bichona
بڑ,bud
بک,book
بکم,bakam
بکھیڑوں,bakhairon
بگڑتی,bigadti
بھردیا,bhardiya
بھرکم,baharkam
بھوجن,bhojan
بھوسی,bhoosy
بھونسلے,bhonsle
بھونچال,bhunchal
بھچراں,bhachran
بھڑاس,bhadaas
بھینٹ,bhent
بہاء,baha
بہاراں,baharan
بہاروں,baharon
بہارِ,bahaare
بہاری,bahari
بہنوں,behnon
بیاہ,biyah
بیاہنے,bayahne
بیاہی,bayahi
بیتا,bita
بیداد,bedad
بیدم,bedum
بیروت,berut
بیرٹ,beerute
بیشہ,beshah
بیشی,beshi
بیضہ,bezah
بیلاروسی,belarosy
بیماری,beemary
بیماریوں,bemarion
بینرجی,benargy
بینسن,benson
بینیڈکٹ,benedict
بیورلی,baverly
بیٹن,betan
بیچنا,bechna
بیکاری,bekari
بیکٹیریا,bacteria
بیگ,baig
بیگانہ,beganah
